Gene Name,log2FoldChange,Annotation
CAST,-1.45951809156829e-05,Promoter
AK3,-1.10347892088996e-05,Promoter
DNASE1L1,-3.98186260619808e-05,Promoter
UBE2D4,-4.73248572009794e-06,Promoter
RPUSD1,6.34174849127039e-07,Promoter
DNAJC1,5.05405936021739e-07,Promoter
FAM133B,-7.46992204407786e-06,Promoter
NIPA1,-8.28069811532101e-06,Promoter
FANCI,5.13382774357318e-07,Promoter
PNPLA6,-2.04460625005267e-05,Promoter
CAMSAP2,1.60938359931197e-05,Promoter
MPZL1,1.34975865678745e-05,Promoter
SUPV3L1,-5.80416857129376e-06,Promoter
PYGB,-1.36334831456622e-05,Intron
AGO2,2.09799098035952e-05,Promoter
EEF1A1,-5.82526239599582e-06,Promoter
BRWD3,-2.25477972181241e-06,Promoter
P3H1,6.17814609752626e-06,Promoter
PCGF3,-5.64673094399207e-06,Promoter
ABCF3,5.84027718314201e-06,Promoter
BAP1,1.36639519529729e-05,Promoter
CSNK1G1,8.19516444477152e-05,Promoter
SET,-1.26162239854515e-05,Promoter
MAGED2,-2.60513712415063e-05,Promoter
SLC35E1,-3.07084124060936e-06,Intron
B3GNT3,-1.90386086647942e-05,Intron
SLC25A51,-5.09566963918588e-06,Promoter
ERLIN2,-1.67912708020491e-06,Promoter
BIRC6,2.72749166814178e-05,Promoter
SRSF10,-4.11055797307308e-07,Promoter
DENND2A,1.41951183722095e-06,Intron
SIL1,-5.8434147318572e-07,Promoter
FAH,-8.03801051136847e-07,Promoter
TONSL,2.96192576663119e-06,Intron
INPPL1,1.29265598447214e-06,Intergenic
RHOV,-6.00228481231586e-07,Intergenic
ERICH1,6.21745221357509e-08,Promoter
COQ9,4.3044582076311e-06,Promoter
MRPL10,1.68609809874314e-05,Promoter
FAM111B,2.0597353384497e-05,Promoter
DHDH,-1.36840571766143e-06,Promoter
PSAP,1.34990603792946e-05,Promoter
WFS1,-4.78912473265748e-06,Promoter
WWTR1-AS1,-2.17668086974239e-06,Promoter
PTP4A1,-3.11831536969516e-07,Promoter
FERMT1,3.28861628027045e-06,Promoter
POLR2D,6.21938829926829e-06,Promoter
RPS28,6.86614112115933e-06,Promoter
CDKL2,4.83542687345506e-07,Promoter
NUP107,-1.06716425643742e-05,Promoter
LRRC49,4.3630617184225e-06,Promoter
SLC38A1,2.9608437200499e-07,Promoter
RNFT1,4.20681326435592e-06,Promoter
PPP3R1,3.46712053980517e-05,Promoter
ATL3,1.3178755384773e-06,Promoter
ACAD8,9.59240743904402e-06,Promoter
TCEA3,-1.06061711145863e-06,Intron
CLCF1,-7.05650514585308e-07,Intron
SYP,-4.24816505679867e-06,Intron
APH1B,9.98997955509881e-06,Promoter
MRPL19,-1.18751670917615e-05,Intron
AZIN2,-1.22284774409591e-06,Intergenic
IDH2,7.07202683863365e-06,Promoter
KCNN4,-1.79887833017254e-06,Promoter
SYNGAP1,3.38855691982364e-06,Intron
DCPS,1.65867397187672e-05,Promoter
MRPS9,6.97258887465163e-05,Promoter
TGM2,1.04544112021082e-05,Promoter
RAPGEF5,-9.12243482044221e-07,Intergenic
VPS13C,-1.71421225142624e-06,Promoter
CNKSR3,-3.09376405465259e-06,Promoter
PRSS16,-5.55482942018064e-06,Intron
FAM219A,7.35407665657731e-06,Promoter
TNNT1,-2.30830949526431e-06,Intron
ZNF623,7.1095422526021e-06,Promoter
C14orf132,-5.8246941429347e-06,Intron
NOL4L,1.65630516520886e-05,Intron
MBP,-8.80482446619986e-06,Intron
MIR193BHG,3.4018697001023e-06,Intergenic
EEPD1,1.12416136332202e-05,Intergenic
IER3,-2.74992482265225e-06,Intergenic
ZBTB48,-1.07402714510499e-06,Promoter
SPRY3,-4.96665981820844e-07,Intergenic
NAXE,5.26420215548589e-05,Promoter
CCDC86,1.73335985120266e-05,Promoter
MRPS23,-9.70677473261509e-06,Intron
IRAK2,-2.1458210746283e-06,Intron
DCAF6,-7.56051499337801e-06,Promoter
LRBA,4.2081462857156e-06,Promoter
SOAT1,-5.46141769722818e-06,Promoter
PTPN1,5.63057868091689e-05,Promoter
DANT1,9.98723459327176e-08,Intron
CDC42SE2,-2.38098417590507e-05,Promoter
AURKB,1.73861132981073e-05,Promoter
C2CD5,-8.90068035524389e-06,Intron
DHRS12,-5.30907829064375e-06,Promoter
SAFB2,-2.16257562909581e-06,Promoter
BCL2L1,-0.28708662696811,Promoter
TIMM10B,-1.02803077021812e-06,Promoter
HLCS,1.00359733174411e-05,Promoter
MIF4GD,-8.43479754639553e-06,Promoter
SCAMP2,6.46376638801329e-06,Intron
FBXL4,-3.30053276678053e-06,Intron
TTLL1,-4.21101132845182e-07,Promoter
MECP2,1.14148482261991e-05,Promoter
TOR4A,-1.28670717201752e-05,Promoter
GTF2H4,7.27821373863775e-08,Promoter
NANOS1,-2.38372170353682e-06,Promoter
CCDC126,-5.05740804043081e-06,Intron
TTF2,-5.9440629337496e-06,Promoter
MT1X,2.96705215829766e-06,Promoter
HCG25,-8.91315528832121e-08,Promoter
YBEY,3.4168308210561e-06,Promoter
HSPA1L,-3.44394392460167e-07,Promoter
TAP1,1.00797865482582e-05,Promoter
LINC01426,-1.18190530751928e-06,Intron
HMGN2,7.58315634472203e-06,Intergenic
ARHGAP12,-7.54391047071789e-07,Intergenic
GPAM,1.8609452039248e-05,Promoter
ANGEL1,8.39765796905686e-06,Promoter
AMHR2,2.25476066148597e-07,Intergenic
SCARB1,4.62946843044037e-05,Intron
TSEN2,2.05427371677253e-06,Promoter
DEGS1,-2.56392196905212e-05,Promoter
GPR180,-6.55540820235586e-06,Promoter
COG3,1.2654592257261e-05,Promoter
COL5A1,2.69278462104999e-05,Intergenic
NUDT18,4.69842534542117e-06,Promoter
LNPK,-2.79147560249309e-06,Intron
PUS1,1.14831137688109e-05,Promoter
WFIKKN1,1.5518305467474e-06,Intron
HRAS,8.7820349737393e-06,Promoter
GRB7,-4.95405046313429e-06,Intergenic
RUBCN,2.02297680923184e-06,Promoter
AMACR,-1.27503414993683e-06,Promoter
ZFAND3,2.57682318511661e-06,Promoter
DHCR7,2.11088341862908e-05,Promoter
ASPSCR1,2.11227138867422e-06,Promoter
TLE2,3.76544714342794e-07,Intron
SRSF10,-4.11055797307308e-07,Promoter
RNF114,-4.54216989555196e-06,Promoter
LARP4,-1.23238287325145e-05,Promoter
RAB11FIP5,6.28577510600189e-06,Promoter
EGR2,1.42300666844039e-06,Promoter
HSPA1B,-4.50579193742502e-07,Promoter
PPP1R11,-1.06904125189336e-05,Promoter
PPFIA1,2.81759782787555e-06,Promoter
TAGLN2,-4.35162824917656e-06,Promoter
AEN,-1.78127518353473e-05,Promoter
SPOPL,-1.02382896377208e-05,Promoter
PTDSS2,-4.98623677356178e-06,Intron
STOX2,2.95826547715299e-06,Intron
SEC13,-5.28687103756089e-05,Promoter
ANKRD9,1.83586433740679e-05,Promoter
JARID2,-8.72721145036247e-09,Intergenic
PUDP,-2.2184721480261e-05,Promoter
RBBP6,1.30822208850883e-06,Promoter
GDPD5,-3.73819748168378e-06,Promoter
NFYB,-1.06277161076165e-05,Intron
HCG25,-8.91315528832121e-08,Promoter
SMIM20,-8.57181635391812e-06,Promoter
AKR1E2,1.27111264745839e-07,Promoter
DIDO1,7.08553258764795e-06,Promoter
SPRY3,-4.96665981820844e-07,Intergenic
MCFD2,1.0186068990834e-06,Promoter
SCOC,-1.64354148838796e-05,Promoter
MICU2,2.02065364138584e-07,Intron
EIF4H,-2.32780324302268e-05,Promoter
SYNJ2,-8.40387691671643e-06,Intron
SMARCC1,-0.0001145506210304,Promoter
STXBP3,-7.20809974136449e-06,Intron
CMTM4,1.72888096101313e-05,Promoter
PSME3,-8.69467927485211e-06,Promoter
PRRC2A,1.25852175672714e-05,Promoter
INTS5,4.97528401887707e-06,Promoter
CPNE3,1.16974975440888e-05,Promoter
ZNF575,-9.29246898858168e-07,Intron
ASAH1,3.07801374249096e-07,Promoter
LAMTOR1,-9.67670951596227e-07,Promoter
CASK,5.36528002393948e-05,Promoter
LPIN1,6.61218081997075e-06,Intron
ZNF789,2.91180679040227e-06,Promoter
RAPGEF2,2.24290738974182e-06,Promoter
PPP1R7,-3.85316428550171e-06,Promoter
THOC5,-3.26463437691892e-06,Promoter
ZFP62,1.06385579031109e-06,Promoter
CCT8,-4.47249678423127e-05,Promoter
UBAC1,-9.38466362037526e-06,Promoter
COX11,8.62471000649728e-06,Promoter
GSS,3.55116973791065e-08,Promoter
VSIG10L,1.33549805346089e-05,Intron
ANKRD18A,4.80479003212213e-06,Promoter
CDK1,-1.94008136356755e-05,Intron
HEPHL1,4.67888561363647e-07,Intergenic
MAP7D1,-5.74963541948131e-07,Intergenic
SKA1,-4.28137921932253e-06,Promoter
LETM2,-1.71797333215422e-06,Promoter
RANBP17,-8.88307490586852e-06,Intron
ZWINT,-9.01041096651842e-06,Promoter
ABHD11,-3.36727129655301e-06,Promoter
SAP130,3.39430361524668e-06,Promoter
SRRM3,2.6386715227428e-06,Intergenic
TAF9B,-6.63223114402034e-06,Intron
TMED5,-3.99484642164887e-05,Promoter
SSH3,1.29584231717532e-05,Promoter
SLC27A3,-1.32708264113893e-06,Intergenic
ARL17A,-3.18219670884778e-06,Promoter
B4GALNT3,2.03540148152516e-06,Intergenic
ARMC1,-6.80170396597734e-06,Promoter
MCFD2,1.0186068990834e-06,Promoter
MAP3K14,1.42080502624264e-06,Intergenic
CSNK2B,-3.0916064078371e-07,Promoter
ORAI3,2.66676422534872e-06,Intron
AMFR,-5.4960859768859e-06,Promoter
LURAP1L,-1.71406615593949e-06,Intron
KLHL11,-1.77041637648819e-06,Promoter
MRPS27,-4.57553864505506e-06,Promoter
JMJD1C,3.48089502304686e-06,Intergenic
LRRC20,-6.22690662390359e-06,Promoter
AIP,-4.58693678306178e-06,Promoter
DAZAP2,-4.04620083161048e-06,Promoter
BECN1,-4.57312174883623e-05,Promoter
ADPRHL1,-8.41887219035119e-06,Intron
CSF2,1.1864193043771e-06,Intergenic
SCARB1,4.62946843044037e-05,Intron
SEC24D,-2.26020498606448e-06,Promoter
MYO1D,-1.12142051847551e-05,Promoter
HEYL,1.57759834700044e-06,Promoter
ALG11,-2.08880326900511e-06,Promoter
WDR82,3.93134197818432e-06,Promoter
DUSP4,1.3954740278315e-05,Intergenic
DAXX,1.55435677733006e-05,Promoter
DIAPH1,-1.02998713050482e-05,Promoter
EFNB1,-2.01714449078225e-06,Promoter
PREX1,4.90220140383636e-06,Promoter
USF3,-6.70710928905275e-07,Intron
CLN3,3.79420106984001e-06,Promoter
TRABD,4.92174463309783e-06,Promoter
DDAH2,-2.07748437958372e-06,Promoter
TBCD,2.55111995631473e-06,Intron
SIPA1L1,4.52056408357902e-06,Intron
SLC16A11,-2.18986314203297e-06,Intergenic
ZG16B,7.28302658147838e-07,Intergenic
PPP2R3C,-3.83122274484859e-06,Promoter
CCDC102A,-3.19567658396726e-06,Intron
KRAS,-3.82250836035209e-06,Intergenic
APRT,1.87474849062979e-05,Promoter
TAP1,1.00797865482582e-05,Promoter
ITGB5,-1.13341792692317e-05,Intron
ARL17A,-3.18219670884778e-06,Promoter
ANO9,6.22747324128783e-07,Intron
EZH2,1.12410777435192e-05,Promoter
SRGAP1,2.10938398122902e-05,Promoter
PPP1R14A,-2.09600250315838e-06,Intron
MALT1,-8.31552593571838e-06,Promoter
KRT80,-0.253497570354422,Intergenic
MSL1,2.55322975265471e-06,Intergenic
HOOK1,-1.96329441648783e-05,Promoter
MCUB,-1.31766009066283e-06,Intron
PTPN23,2.89141888658592e-06,Intron
SHF,-1.18958363436486e-06,Intron
PGAM1,5.52315329418147e-06,Promoter
AMOTL2,-1.19511745023671e-05,Promoter
DST,1.05913868748861e-07,Intron
SYNGAP1,3.38855691982364e-06,Intron
FAM47E,1.91237501966184e-07,Promoter
IL13RA1,-1.6802130276878e-05,Promoter
IL6,-6.39418161883102e-07,Intergenic
MED19,3.44515529515399e-06,Promoter
UBE2Z,3.33508251012275e-06,Promoter
SHF,-1.18958363436486e-06,Intron
ZNF184,-2.55245925023351e-06,Promoter
ZMIZ1-AS1,2.80386805712256e-06,Intron
MIOS,-1.26596466873119e-05,Promoter
SENP1,4.44170632325801e-06,Promoter
ETNK1,-2.49259865412529e-06,Promoter
SYNE2,1.81313458189973e-06,Promoter
MDM2,-3.53165672594845e-05,Promoter
RILPL1,-1.26567017270525e-06,Promoter
EGFR-AS1,-2.61682388041246e-07,Intergenic
GOLGA7,-1.8427331274064e-06,Promoter
P3H4,0.0001002490773831,Promoter
ECH1,-1.60174287667625e-06,Intron
EXOSC2,1.93191438488569e-05,Promoter
ORAI1,6.34556153302632e-06,Intron
FRMD5,6.78330968267086e-06,Promoter
DAB2IP,8.15968107620172e-07,Intron
C12orf57,-7.82450938562279e-07,Intron
TMEM50A,-3.58395043772129e-07,Promoter
SDF2L1,6.97206909884949e-06,Promoter
CIZ1,1.83147955932245e-05,Intron
MUC12,1.09103489939595e-06,Intron
AICDA,2.28633482461337e-07,Intergenic
MAP4K2,-7.35047735267222e-06,Promoter
VSIG10,-6.12237242126289e-08,Promoter
PRAME,-1.00986731779758e-05,Promoter
ANKDD1A,1.5268940545345e-06,Intergenic
NAA50,5.15231055541861e-06,Promoter
CYB5A,1.67245596634389e-05,Promoter
GTF2H4,7.27821373863775e-08,Promoter
DUSP7,-1.23095679053892e-06,Intergenic
ERRFI1,2.94478831361698e-07,Promoter
SPAG16,-7.84865590681325e-06,Promoter
TMED10,-1.17640171830171e-05,Promoter
XRRA1,1.81403253380714e-06,Promoter
CC2D2B,-2.89152338562838e-08,Promoter
VEZF1,-5.47549622823768e-07,Promoter
HSD17B14,-1.15799945481431e-06,Promoter
LPIN2,1.73546322467871e-05,Promoter
DDX60L,8.19174915580758e-06,Intergenic
EML5,7.23975472514874e-06,Promoter
NUDT18,4.69842534542117e-06,Promoter
EPB41L1,-1.75854048773094e-05,Intergenic
ANKDD1A,1.5268940545345e-06,Intergenic
DNMT3A,-8.79895252581061e-06,Promoter
GSE1,-1.64242806226647e-07,Intergenic
CHD7,2.00517189297902e-05,Promoter
AKNA,2.13133559944649e-06,Intergenic
NT5DC4,-1.2025401149145e-07,Intergenic
TAF5,8.91046052485109e-06,Intron
GPANK1,-1.9988790273635e-06,Promoter
PVR,1.72629548436574e-05,Intron
MICAL3,1.67644688057204e-06,Intron
ERC1,2.12060353637245e-05,Promoter
ZC3H7A,1.6051212781695e-05,Promoter
ATRN,4.77191633443044e-06,Promoter
TGFB1I1,6.35269834929074e-06,Promoter
DAG1,-7.69321366344461e-06,Intron
PTCH1,4.1759512840825e-06,Intron
LYST,-2.89991234026926e-06,Intergenic
LGALSL,-1.07982365665352e-05,Promoter
MARK2,3.59964153319262e-06,Intron
MYO10,3.2704320789948e-05,Promoter
CDC42EP2,1.24521315010453e-07,Intron
ADIPOR2,-1.25756975454188e-05,Promoter
VAPB,1.76329012148414e-05,Promoter
REPIN1,3.03647391379866e-06,Intron
MIF,-3.28950657804886e-06,Promoter
EIF4G1,-1.92916414571656e-05,Promoter
MBP,-8.80482446619986e-06,Intron
RNF149,2.04556782532679e-06,Promoter
